,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
0,Identifiant,Rang,Titre de la pièce,Incipit non modernisé,Foliotation
151,[1550_Tradlatfr_Grou] 001 Tant que voudras jette feu et fumée,n° 001,A Estienne Dolet / In Detractorem. Mar. lib. 5.,"Tant que voudras jette feu &amp; fumée / Adlatres licet usquenos, &amp; usque (texte en latin)","A2r, A2v"
150,[1550_Tradlatfr_Grou] 002 C’est grand cas que nostre voysin,n° 002,D’un Lymosin. / De Sertorio. lib 3. (titre en latin),"C’est grand cas que nostre voysin /&nbsp;Rem peragit nullam Sertorius, inchoat omnes (texte en latin)",A2v
149,[1550_Tradlatfr_Grou] 003 S’on nous laissoit noz jours en paix user,n° 003,A F. Rabelais. / Ad martialem. lib. 5.,S’on nous laissoit noz jours en paix user / Si tecum michi chare Martialis (texte en latin),"A2v, A3r"
148,"[1550_Tradlatfr_Grou] 004 Au curé, ainsi comme il dit",n° 004,Du Curé. Imitation. / Lib. II In Faustum. (texte en latin),"Au curé, ainsi comme il dit / Nescio tam multis quid scribas, Fasute, puellis (texte en latin)","A3r, A3v"
147,[1550_Tradlatfr_Grou] 005 Si la queuë ay coupée,n° 005,"Responce pour le Roy de Navarre à ma Dame d’Orsonvilliers, du Huictain J’ay joué rondement, par C. Marot.",Si la queuë ay coupée,A3v
146,"[1550_Tradlatfr_Grou] 006 Ce nouvel an Françoys, ou grace abonde",n° 006,Au Roy pour estrenes.,"Ce nouvel an Françoys, ou gracɇ abonde",A4r
145,[1550_Tradlatfr_Grou] 007 Si le Roy seul sans aucun y commettre,n° 007,"Au Roy encores, pour estre remis en son estat.",Si le Roy seul sans aucun y commettre,"A4r, A4v"
144,[1550_Tradlatfr_Grou] 008 Me souvenant de tes graces divines,n° 008,C. Marot à L. D. D. F. Luy estant en Italie. Sonnet.,Me souvenant de tes graces divines,A4v
143,"[1550_Tradlatfr_Grou] 009 Frere Thibaut, pour souper en quaresme",n° 009,De frere Thibaud.,"Frere Thibaut, pour souper en quaresme","A4v, A5r"
142,"[1550_Tradlatfr_Grou] 010 Le cours du ciel, qui domine icy bas",n° 010,De l’an 1544.,"Le cours du ciel, qui domine icy bas",A5r
141,[1550_Tradlatfr_Grou] 011 Un usurier à la teste pelée,n° 011,"D’un Usurier, pris du latin.",Un usurier à la teste pelée,"A5r, A5v"
140,[1550_Tradlatfr_Grou] 012 Un advocat jouoit contre sa femme,n° 012,"D’un Advocat, jouant contre sa femme, &amp; de son Clerc.",Un advocat jouoit contre sa femme,A5v
139,[1550_Tradlatfr_Grou] 013 Un lieutenant vuidoit plus voluntiers,n° 013,Du Lieutenant de B.,Un lieutenant vuidoit plus voluntiers,"A5v, A6r"
